Released_Year,Certificate,Runtime,Genre,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,writer,country_origin,filming_location,production_company,language,oscar
1966.0,3,205,87,,25,27,311,608,668,46947.0,102021.0,31,77,68,350,220,0.0
2010.0,4,144,22,67.0,221,375,117,366,332,111252.0,128392.0,700,172,646,690,232,
1977.0,4,93,119,92.0,532,643,164,836,131,251823.0,39200000.0,692,112,91,268,52,0.0
1979.0,3,147,171,94.0,137,420,510,703,271,606398.0,83471511.0,338,112,80,33,51,0.0
2006.0,4,139,4,68.0,325,233,642,160,766,291018.0,50866635.0,429,144,358,257,214,3.0
,0,140,48,77.0,433,604,77,457,275,269197.0,173837933.0,306,112,336,260,6,0.0
2012.0,4,120,91,86.0,45,57,91,395,12,572581.0,136025503.0,700,172,646,690,232,0.0
2016.0,1,116,176,81.0,110,23,365,237,629,594181.0,100546139.0,168,116,615,283,114,0.0
1942.0,4,118,99,,140,104,629,679,351,65101.0,,700,172,646,690,232,
1997.0,4,139,105,67.0,207,273,285,281,170,275755.0,148478011.0,414,112,338,523,6,0.0
2007.0,3,123,168,85.0,230,350,327,97,789,251370.0,50927067.0,244,128,565,585,28,0.0
1987.0,0,104,182,88.0,293,221,643,240,825,31163.0,4542825.0,700,172,646,690,232,
2007.0,4,122,137,85.0,132,54,595,840,672,30827.0,741283.0,700,172,646,690,232,
2009.0,1,162,6,83.0,202,543,837,777,632,1118998.0,760507625.0,263,152,334,534,149,0.0
2019.0,1,181,4,78.0,36,314,657,134,585,809955.0,858373000.0,99,112,209,310,101,1.0
2018.0,1,149,11,68.0,36,314,657,135,585,834477.0,678815482.0,99,149,169,311,6,1.0
1990.0,0,121,85,74.0,379,514,665,427,773,125276.0,52096475.0,463,112,228,132,6,3.0
2017.0,4,125,87,,68,198,838,322,516,34112.0,,700,172,646,690,232,
1993.0,3,171,165,,268,383,226,276,920,25088.0,5216888.0,700,172,646,690,232,
2017.0,1,167,25,,437,487,640,54,845,75348.0,20186659.0,661,45,64,44,228,0.0
2005.0,4,112,138,,546,656,227,311,227,78925.0,,700,172,646,690,232,
2015.0,1,159,24,,349,8,148,674,839,52848.0,,700,172,646,690,232,
